id,date,name,price,volume
1136897,2025-07-15,GBCI,44.35,754354
1136841,2025-07-15,GL,117.74,443061
1136713,2025-07-15,GS,702.51,1693000
1136796,2025-07-15,HBAN,16.56,63638000
1136720,2025-07-15,HDB,75.25,1370000
1136773,2025-07-15,HIG,119.73,1399000
1136824,2025-07-15,HLI,190.51,394469
1136852,2025-07-15,HLNE,145.72,265646
1136886,2025-07-15,HOMB,28.5,1187000
1136740,2025-07-15,HOOD,99.54,44225000
1136717,2025-07-15,HSBC,61.82,1346000
1136793,2025-07-15,IBKR,59.63,6038000
1136730,2025-07-15,IBN,33.2,3159000
1136734,2025-07-15,ICE,179.79,1513000
1136750,2025-07-15,ING,22.45,2450000
1136858,2025-07-15,IVZ,16.74,5650000
1136895,2025-07-15,IX,22.32,126739
1136833,2025-07-15,JEF,54.81,1797000
1136872,2025-07-15,JHG,40.55,1214000
1136709,2025-07-15,JPM,286.55,10225000
1136874,2025-07-15,JXN,84.85,582091
1136778,2025-07-15,KB,85.57,236109
1136810,2025-07-15,KEY,17.89,21983000
1136729,2025-07-15,KKR,137.21,2671000
1136835,2025-07-15,KNSL,476.89,256746
1136806,2025-07-15,L,89.82,790535
1136885,2025-07-15,LNC,33.37,2166000
1136787,2025-07-15,LPLA,367.03,651624
1136746,2025-07-15,LYG,4.09,9660000
1136711,2025-07-15,MA,550.36,2449000
1136888,2025-07-15,MAIN,63.5,453587
1136901,2025-07-15,MC,69.53,876578
1136739,2025-07-15,MCO,495.28,466950
1136762,2025-07-15,MET,76.21,2659000
1136763,2025-07-15,MFC,30.25,2164000
1136751,2025-07-15,MFG,5.48,3322000
1136791,2025-07-15,MKL,1976.94,30387
1136851,2025-07-15,MKTX,214.55,304758
1136733,2025-07-15,MMC,210.9,2968000
1136827,2025-07-15,MORN,286.48,383693
1136715,2025-07-15,MS,141.59,6513000
1136768,2025-07-15,MSCI,563.13,403246
1136776,2025-07-15,MTB,197.28,1737000
1136873,2025-07-15,MTG,25.06,2944000
1136723,2025-07-15,MUFG,13.47,3322000
1136765,2025-07-15,NDAQ,88.43,1913000
1136807,2025-07-15,NMR,6.35,357279
1136795,2025-07-15,NTRS,123.6,1729000
1136756,2025-07-15,NU,13.54,118407000
1136769,2025-07-15,NWG,13.17,3763000
1136883,2025-07-15,OBDC,14.79,3584000
1136867,2025-07-15,OMF,57.24,805518
1136857,2025-07-15,ONB,22.43,2385000
